policy,family,value,metric_p50,metric_p25,metric_p75
median,spoof,0.5,7.070056476753795,5.253219216770935,9.330147387296948
ippo,spoof,0.5,7.070056476753795,5.0988547032456095,9.451093479826389
maddpg,spoof,0.5,7.070056476753795,5.0988547032456095,9.451093479826389
mappo,spoof,0.5,7.070056476753795,5.0988547032456095,9.451093479826389
mean,spoof,1.0,7.070056476753795,5.253219216770935,9.330147387296948
median,spoof,1.0,7.070056476753795,5.253219216770935,9.330147387296948
ippo,spoof,1.0,7.070056476753795,5.0988547032456095,9.451093479826389
maddpg,spoof,1.0,7.070056476753795,5.0988547032456095,9.451093479826389
mappo,spoof,1.0,7.070056476753795,5.0988547032456095,9.451093479826389
mean,byzantine,0.0,3.211580940949543e-05,2.178768201659893e-05,8.941568110463813e-05
median,byzantine,0.0,0.017521414751819175,0.003464201937702892,0.034723517054233134
ippo,byzantine,0.0,0.0023840971187983626,0.00012640470436182038,0.010063192309028609
maddpg,byzantine,0.0,0.011344107712493584,0.0020108836550956537,0.025455153790523988
mappo,byzantine,0.0,0.0036898952270760918,0.00023457484816791826,0.012086789380245738
mean,byzantine,0.1,5.696916098246165,4.748558195776901,6.968062761176909
median,byzantine,0.1,0.10329043971525892,0.09028687897558556,0.24825687333686192
ippo,byzantine,0.1,2.3141641332453364,1.432835261347835,4.820759054413489
maddpg,byzantine,0.1,2.1178201711189466,1.2624642706016036,4.316866099021045
mappo,byzantine,0.1,1.418680856106809,0.42211330986554424,3.0337684481008207
mean,byzantine,0.25,4.9957585778081075,4.502994488614018,6.266300827464482
median,byzantine,0.25,0.6501893844794578,0.2067183435628701,3.5148649840537582
ippo,byzantine,0.25,3.979346520169973,2.5139115622303656,5.675018476347429
maddpg,byzantine,0.25,4.390373833318476,2.2543178947437785,5.052235376524985
mappo,byzantine,0.25,2.3228468077506452,1.0078291748754484,4.706103028430778
mean,byzantine,0.5,3.5937771401059955,3.4190885411337195,5.082889320986889
median,byzantine,0.5,3.9113882370621025,2.9626729620220447,4.588841240932592
ippo,byzantine,0.5,3.7011512752200693,2.994004993260637,4.761002720730071
maddpg,byzantine,0.5,3.678879823702805,2.875305907189255,4.938344981538497
mappo,byzantine,0.5,3.261588204593452,2.4076946141444737,4.09103419750576
