strategy,bits,consensus_error
oracle,2.0,0.6484326014855342
oracle,2.0,0.4996282518690953
oracle,3.0,0.032724368623413304
oracle,3.0,0.12078804938741305
oracle,3.0,0.0004346072619847457
oracle,3.0,0.16214618320072519
oracle,3.0,0.07378559117942785
oracle,3.0,0.033994421699467946
oracle,3.0,0.11158461489998803
oracle,3.0,0.011968998158015127
oracle,3.0,0.05467392364412164
oracle,3.0,0.018337302190095085
oracle,4.0,0.002272681416961351
oracle,4.0,0.014154889517222411
oracle,4.0,0.03696998624315458
oracle,4.0,0.03031163314086069
oracle,4.0,0.001854474030701548
oracle,4.0,0.0001676297497855799
oracle,4.0,0.011124217348600023
oracle,4.0,0.014201134247961036
oracle,4.0,2.759536252219651e-05
oracle,4.0,0.008678065173460444
oracle,8.0,3.767811200572416e-07
oracle,8.0,1.7616300165487639e-06
oracle,8.0,1.6325750364277953e-05
oracle,8.0,8.829386684771147e-05
oracle,8.0,1.5961775260596248e-05
oracle,8.0,0.00011198340040069756
oracle,8.0,0.00012890782757281162
oracle,8.0,2.314819715001966e-06
oracle,8.0,2.759536252219651e-05
oracle,8.0,9.245086861378321e-07
oracle,32.0,1.9332417335191678e-23
oracle,32.0,3.027725127186996e-23
oracle,32.0,3.240226975394371e-23
oracle,32.0,4.652064856822791e-23
oracle,32.0,2.7341587345077213e-23
oracle,32.0,2.707556026041053e-23
oracle,32.0,3.7230441471358596e-23
oracle,32.0,3.416045912976766e-23
oracle,32.0,2.396636336681159e-23
oracle,32.0,2.6150663508387158e-23
