strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
hybrid,80,clean,2,3.433575387687315e-05,0.7855398535469955,12840
hybrid,80,clean,3,1.4230215238428049e-05,0.7829613043899744,12840
hybrid,80,clean,4,1.2445986134225863e-05,0.7819451217093202,12840
hybrid,80,clean,5,1.5861846963196852e-05,0.7837766873248496,12840
hybrid,80,clean,6,1.0524522065179986e-05,0.7789421746899817,12840
hybrid,80,clean,7,7.222588661986436e-06,0.7817237409440566,12840
hybrid,80,clean,8,1.71595745644691e-05,0.7842471110886292,12840
hybrid,80,clean,9,3.206939149730595e-05,0.7863235887607565,12840
hybrid,160,clean,0,4.972061464060186e-05,0.7846197390547626,27000
hybrid,160,clean,1,4.6721317699568525e-05,0.7848666190519447,27000
hybrid,160,clean,2,5.076079726489364e-05,0.7839692081978047,27000
hybrid,160,clean,3,4.438059689098433e-05,0.7832070254981592,27000
hybrid,160,clean,4,2.953575864062474e-05,0.7825401613134606,27000
hybrid,160,clean,5,4.037598000852422e-05,0.7839533543119157,27000
hybrid,160,clean,6,3.2736673598031296e-05,0.7855979634672945,27000
hybrid,160,clean,7,5.066374211559133e-05,0.7867983102405236,27000
hybrid,160,clean,8,3.17523222114932e-05,0.7842138474275084,27000
hybrid,160,clean,9,6.072405134736991e-05,0.7867489911737495,27000
gnn,10,clean,0,0.008098098517571605,0.8892778953951201,1200
gnn,10,clean,1,3.5433195942349776,0.9790997339951625,1200
gnn,10,clean,2,0.00018853115106030232,0.8572970764030241,1200
gnn,10,clean,3,0.0014303474163439337,0.889476385566662,1200
gnn,10,clean,4,0.00017019254450660796,0.8763309189429292,1200
gnn,10,clean,5,0.0026316918831732943,0.8962415205238624,1200
gnn,10,clean,6,0.0006635487805253274,0.8885122046610375,1200
gnn,10,clean,7,0.0013854029798627836,0.8911016637948231,1200
gnn,10,clean,8,0.005226074338146212,0.8948845646923773,1200
gnn,10,clean,9,0.000986445758668144,0.8822790758906915,1200
gnn,20,clean,0,0.3035360215633847,0.9353105371452476,2400
gnn,20,clean,1,1.9999232841491552,0.9678228227242215,2400
gnn,20,clean,2,1.3096702264389783,0.954694786943558,2400
gnn,20,clean,3,0.24339213036880208,0.9565117086590511,2400
gnn,20,clean,4,0.10732738804767236,0.9191301033058848,2400
gnn,20,clean,5,0.36571007825590046,0.9647898111147767,2400
gnn,20,clean,6,1.4590049228530146,0.9654665506948774,2400
gnn,20,clean,7,0.2777978713731993,0.9568996160661741,2400
gnn,20,clean,8,0.19536722668482928,0.9270023390507389,2400
gnn,20,clean,9,0.4806849115088092,0.948475260194811,2400
gnn,40,clean,0,5.5354855880848275,0.9723313286951821,4800
gnn,40,clean,1,11.172263512757619,0.9832962241700944,4800
gnn,40,clean,2,6.192862661336639,0.9738532225678471,4800
gnn,40,clean,3,2.4470557512152205,0.9638525287169369,4800
gnn,40,clean,4,0.7051080124080742,0.9462148868190008,4800
gnn,40,clean,5,0.5754671615656715,0.9479217601535628,4800
gnn,40,clean,6,1.5690652116061385,0.9550536103775161,4800
gnn,40,clean,7,2.084357362688258,0.9753790464973138,4800
gnn,40,clean,8,0.4841381400088819,0.9355360064537657,4800
gnn,40,clean,9,0.6251648917470248,0.9416585268902112,4800
gnn,80,clean,0,8.587248952026966,0.9698818157771881,9600
gnn,80,clean,1,10.64848645429339,0.9747661937163605,9600
gnn,80,clean,2,14.268751182873281,0.9748450314233198,9600
gnn,80,clean,3,7.1035490748048,0.968103992571442,9600
gnn,80,clean,4,1.3906365014326978,0.943144703173639,9600
gnn,80,clean,5,4.481967346712684,0.9678994232429469,9600
gnn,80,clean,6,10.003843422225131,0.9741617416227303,9600
gnn,80,clean,7,3.090072998328446,0.9673886474541675,9600
gnn,80,clean,8,2.694150901093875,0.9553661867804756,9600
gnn,80,clean,9,4.335228389021464,0.9668677412370119,9600
gnn,160,clean,0,12.117408221412052,0.9674089333100631,19200
gnn,160,clean,1,27.897923574774673,0.9761712316012281,19200
gnn,160,clean,2,24.111697256524394,0.9724679135060604,19200
gnn,160,clean,3,18.21755176966504,0.9742292144938275,19200
gnn,160,clean,4,10.463303763719447,0.9639593307293692,19200
gnn,160,clean,5,10.417151887032535,0.9700960346195692,19200
gnn,160,clean,6,15.004535124516217,0.9707394069156601,19200
gnn,160,clean,7,6.8576998257869395,0.9611677318441316,19200
gnn,160,clean,8,9.357376162532073,0.9623308345155759,19200
gnn,160,clean,9,11.883945988298272,0.9694745017345427,19200
mean,10,drop0.3,0,0.0002519900004728194,0.8667469744113977,1200
mean,10,drop0.3,1,0.0015167132449280178,0.8698992194628642,1200
mean,10,drop0.3,2,0.0005115516929401636,0.872866808159373,1200
mean,10,drop0.3,3,0.00010868733384542183,0.857016782541852,1200
mean,10,drop0.3,4,0.0002639500888103216,0.8805455312675001,1200
