benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,160,60,-6.050998214307222,6.050998214307222,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9691970369082941,0.7532500739965691,1.0,6.42415780299309,-2.3938120027226506,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-11.647816143515024,11.647816143515024,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739813637289171,0.7230987497661311,1.0,12.198575484184913,-3.0083571868582712,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-7.944808333609069,7.944808333609069,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709439982794565,0.7041557436108998,1.0,8.364651032865883,-3.001575706605868,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-12.923636243639322,12.923636243639322,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979472697538204,0.6530396604414705,1.0,13.371834149416033,-2.5676230966071363,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-7.748189330781836,7.748189330781836,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724266772200442,0.7320851580903354,1.0,8.16013750334086,-2.4771925876147725,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-4.607433326299562,4.607433326299562,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9651072289213557,0.8316428627511516,1.0,5.060070590518109,-2.3722312164207127,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-10.04582847535657,10.04582847535657,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9741507174632287,0.7870171824061347,1.0,10.704747974552388,-2.402757948478131,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-4.359946960093459,4.359946960093459,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967998155832651,0.7040857285343636,1.0,4.646221685479101,-2.344462505847658,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-5.073017606125715,5.073017606125715,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9681864380591494,0.7427030239769569,1.0,5.4013168326324665,-2.252522093990282,,0.0,0.0015419275185534988,0.0015419275185534992
consensus,160,60,-8.284020197028033,8.284020197028033,0.0,0.0,0.0,0.0,19200.0,19200.0,1.0,0.0,614400.0,32.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761093984397969,0.6546637424777995,1.0,8.598527205246752,-2.4247504376361726,,0.0,0.0015419275185534988,0.0015419275185534992
